corpus,collection,languages,n_transcripts,n_transcripts_with_target_child_age,target_child_age_min,target_child_age_max,section,status,n_utterances,speaker_code_counts,speaker_role_counts,speaker_codes,speaker_roles,classifier_counts_all,classifier_counts_chi
AcadLang,Chinese,zho,116,115,1095.75,2526.3125,Chinese,ok,4380,"{""ADU"": 2308, ""CHI"": 2072}","{""Adult"": 2308, ""Target_Child"": 2072}",ADU;CHI,Adult;Target_Child,"{""个"": 353, ""只"": 22, ""张"": 2, ""条"": 18}","{""个"": 190, ""只"": 19, ""张"": 1, ""条"": 15}"
Beijing,Chinese,zho,50,49,636.75,825.8125,Chinese,ok,91449,"{""AYY"": 1826, ""BAO"": 1428, ""CAA"": 1, ""CH2"": 536, ""CHI"": 28464, ""DDD"": 101, ""DGG"": 1413, ""FAT"": 12261, ""INV"": 3197, ""JEE"": 172, ""JJJ"": 77, ""LLL"": 198, ""LYY"": 232, ""MNN"": 40, ""MOT"": 33333, ""NNN"": 3597, ""OBB"": 7, ""OFF"": 781, ""OGG"": 97, ""OMM"": 916, ""ONN"": 78, ""OPP"": 257, ""OYY"": 88, ""SSS"": 37, ""UNC"": 1116, ""XGG"": 410, ""YYY"": 786}","{""Adult"": 1694, ""Investigator"": 3465, ""Mother"": 37466, ""Caretaker"": 1428, ""Child"": 425, ""Target_Child"": 28464, ""Unidentified"": 1350, ""Relative"": 1182, ""Father"": 13091, ""Grandmother"": 2096, ""Grandfather"": 788}",AYY;BAO;CAA;CH2;CHI;DDD;DGG;FAT;INV;JEE;JJJ;LLL;LYY;MNN;MOT;NNN;OBB;OFF;OGG;OMM;ONN;OPP;OYY;SSS;UNC;XGG;YYY,Adult;Caretaker;Child;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child;Unidentified,,
Chang1,Chinese,zho; zho eng; zho nan,24,24,1278.375,2343.6875,Chinese,ok,5813,"{""CHI"": 3179, ""EXP"": 2634}","{""Target_Child"": 3179, ""Investigator"": 2634}",CHI;EXP,Investigator;Target_Child,"{""个"": 617, ""只"": 210, ""张"": 2, ""条"": 12}","{""个"": 269, ""只"": 107, ""张"": 2, ""条"": 1}"
Chang2,Chinese,zho,31,31,1217.5,1308.8125,Chinese,ok,6753,"{""CHI"": 2104, ""EXP"": 6, ""FAT"": 11, ""INV"": 26, ""MOT"": 4604, ""SIS"": 2}","{""Target_Child"": 2104, ""Investigator"": 32, ""Father"": 11, ""Mother"": 4604, ""Sister"": 2}",CHI;EXP;FAT;INV;MOT;SIS,Father;Investigator;Mother;Sister;Target_Child,"{""个"": 481, ""只"": 43, ""张"": 20, ""本"": 3}","{""个"": 184, ""只"": 6, ""张"": 6}"
ChangPlay,Chinese,zho,56,56,1126.1875,2191.5,Chinese,ok,26509,"{""AUN"": 7, ""BRO"": 633, ""CHI"": 8491, ""EXP"": 431, ""EXP1"": 8, ""EXP2"": 8, ""FAT"": 357, ""GRA"": 17, ""GRF"": 18, ""GRM"": 1023, ""MOT"": 14692, ""SI1"": 249, ""SI2"": 104, ""SI3"": 7, ""SIS"": 464}","{""Relative"": 14, ""Brother"": 633, ""Target_Child"": 8491, ""Investigator"": 447, ""Father"": 357, ""Grandfather"": 35, ""Grandmother"": 1023, ""Mother"": 14692, ""Sister"": 817}",AUN;BRO;CHI;EXP;EXP1;EXP2;FAT;GRA;GRF;GRM;MOT;SI1;SI2;SI3;SIS,Brother;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Sister;Target_Child,"{""个"": 2287, ""只"": 216, ""张"": 30, ""条"": 34}","{""个"": 881, ""只"": 55, ""张"": 2, ""条"": 6}"
ChangPN,Chinese,zho,191,191,1217.5,3835.125,Chinese,ok,27279,"{""CHI"": 10005, ""EXP"": 17274}","{""Target_Child"": 10005, ""Investigator"": 17274}",CHI;EXP,Investigator;Target_Child,"{""个"": 1043, ""只"": 413, ""张"": 55, ""本"": 157, ""条"": 11}","{""个"": 444, ""只"": 192, ""张"": 11, ""本"": 18, ""条"": 10}"
CHCC,Biling,eng yue zho; eng zho; eng zho spa; yue eng zho; yue eng zho spa; yue zho eng; zho; zho eng; zho eng spa; zho yue eng,189,187,582.3125,1801.8125,Biling,ok,100022,"{""ALI"": 16, ""AUN"": 120, ""CHI"": 30839, ""FAT"": 13836, ""GRA"": 11, ""GRAF"": 293, ""GRAM"": 449, ""GRM"": 91, ""JEN"": 285, ""KAY"": 4574, ""LAN"": 3785, ""MAG"": 9917, ""MOT"": 29151, ""RIK"": 287, ""SOP"": 6298, ""VID"": 70}","{""Investigator"": 25232, ""Relative"": 120, ""Target_Child"": 30839, ""Father"": 13836, ""Grandfather"": 304, ""Grandmother"": 540, ""Mother"": 29151}",ALI;AUN;CHI;FAT;GRA;GRAF;GRAM;GRM;JEN;KAY;LAN;MAG;MOT;RIK;SOP;VID,Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child,"{""个"": 3098, ""只"": 277, ""张"": 52, ""本"": 178, ""条"": 86}","{""个"": 1016, ""只"": 49, ""张"": 6, ""本"": 27, ""条"": 8}"
Chinese-Chang1,Frogs,zho; zho eng; zho nan; zho nan eng,91,90,1217.5,2678.5,Frogs,ok,11965,"{""CHI"": 5256, ""EXP"": 6709}","{""Child"": 114, ""Target_Child"": 5142, ""Investigator"": 6709}",CHI;EXP,Child;Investigator;Target_Child,"{""个"": 829, ""只"": 416, ""张"": 48, ""本"": 287, ""条"": 15}","{""个"": 558, ""只"": 268, ""张"": 2, ""本"": 4, ""条"": 1}"
Chinese-Guo,Frogs,zho; zho eng,72,72,1278.375,7305.0,Frogs,ok,6343,"{""CHI"": 4968, ""INV"": 1375}","{""Target_Child"": 4968, ""Investigator"": 1375}",CHI;INV,Investigator;Target_Child,"{""个"": 1705, ""只"": 331, ""张"": 3, ""条"": 12}","{""个"": 1335, ""只"": 328, ""张"": 3, ""条"": 12}"
Chinese-Tardif,Frogs,zho,603,601,979.0,1843.25,Frogs,ok,57098,"{""CHI"": 22595, ""HA1"": 1488, ""HA2"": 697, ""HA3"": 8, ""HAN"": 4719, ""IN1"": 7013, ""IN2"": 2860, ""INV"": 17718}","{""Target_Child"": 22595, ""Father"": 630, ""Grandfather"": 39, ""Grandmother"": 651, ""Mother"": 5551, ""Unidentified"": 15, ""Relative"": 27, ""Investigator"": 476, ""Teacher"": 27114}",CHI;HA1;HA2;HA3;HAN;IN1;IN2;INV,Father;Grandfather;Grandmother;Investigator;Mother;Relative;Target_Child;Teacher;Unidentified,"{""个"": 7021, ""只"": 895, ""张"": 613, ""本"": 7, ""条"": 20}","{""个"": 3336, ""只"": 728, ""张"": 55, ""本"": 2, ""条"": 20}"
Chinese-Zhou,Frogs,zho,60,60,1095.75,1461.0,Frogs,ok,4529,"{""CHI"": 2664, ""INV"": 1865}","{""Target_Child"": 2664, ""Investigator"": 1865}",CHI;INV,Investigator;Target_Child,"{""个"": 727, ""只"": 220, ""张"": 21, ""本"": 99, ""条"": 13}","{""个"": 403, ""只"": 131, ""张"": 6, ""本"": 2, ""条"": 2}"
CLPF,Dutch,nan,2,0,,,Dutch,ok,,,,,,,
CUHK,Biling,eng zho,9,4,1126.1875,2374.125,Biling,ok,1910,"{""ADU"": 232, ""ALL"": 11, ""AUN"": 210, ""CAN"": 43, ""CEL"": 4, ""CH2"": 47, ""CHI"": 612, ""INT"": 173, ""INV"": 233, ""MAN"": 71, ""MAR"": 111, ""MOM"": 145, ""MOT"": 2, ""STE"": 8, ""UNC"": 7, ""WOM"": 1}","{""Adult"": 232, ""Child"": 128, ""Relative"": 217, ""Target_Child"": 766, ""Mother"": 159, ""Investigator"": 406, ""Visitor"": 2}",ADU;ALL;AUN;CAN;CEL;CH2;CHI;INT;INV;MAN;MAR;MOM;MOT;STE;UNC;WOM,Adult;Child;Investigator;Mother;Relative;Target_Child;Visitor,,
Erbaugh,Chinese,zho eng,64,64,667.1875,1392.6875,Chinese,ok,68164,"{""ADU"": 12654, ""ADU1"": 5862, ""ADU2"": 1891, ""ADU3"": 209, ""ADU4"": 4, ""CHI"": 24462, ""CHI1"": 1559, ""CHI2"": 974, ""FAT"": 1147, ""GRA"": 205, ""MOT"": 17903, ""SIS"": 1294}","{""Adult"": 20575, ""Grandmother"": 250, ""Target_Child"": 25541, ""Child"": 1454, ""Father"": 1147, ""Mother"": 17903, ""Sister"": 1294}",ADU;ADU1;ADU2;ADU3;ADU4;CHI;CHI1;CHI2;FAT;GRA;MOT;SIS,Adult;Child;Father;Grandmother;Mother;Sister;Target_Child,"{""个"": 3717, ""只"": 247, ""张"": 109, ""本"": 65, ""条"": 39}","{""个"": 1308, ""只"": 67, ""张"": 31, ""本"": 15, ""条"": 10}"
Guthrie,Biling,eng zho,36,0,,,Biling,ok,21402,"{""AHN"": 595, ""AHP"": 508, ""AHT"": 200, ""AMY"": 175, ""ANG"": 23, ""ANH"": 193, ""ANT"": 593, ""BEA"": 40, ""CAL"": 94, ""CAO"": 133, ""CAR"": 146, ""CHI"": 11, ""CHR"": 348, ""CLI"": 46, ""EDW"": 3, ""ELA"": 3, ""ELI"": 17, ""FOO"": 7, ""HEN"": 235, ""HIE"": 991, ""HOW"": 741, ""JAC"": 459, ""JOS"": 123, ""JUS"": 101, ""KEA"": 141, ""KIM"": 13, ""LAR"": 4110, ""LIS"": 111, ""MAI"": 2487, ""MAR"": 4351, ""MEN"": 86, ""MEO"": 169, ""MEY"": 290, ""MYO"": 99, ""NGH"": 4, ""NGO"": 1, ""PHU"": 654, ""PUI"": 11, ""QUO"": 32, ""RIT"": 27, ""SAM"": 51, ""SEV"": 740, ""STD"": 2, ""STE"": 536, ""STU"": 871, ""SUB"": 87, ""SUI"": 2, ""TIN"": 5, ""TRA"": 9, ""UNK"": 10, ""VEL"": 69, ""WAI"": 141, ""WYM"": 393, ""XYZ"": 5, ""YVO"": 110}","{""Student"": 10298, ""Adult"": 59, ""Teacher"": 10203, ""Unidentified"": 842}",AHN;AHP;AHT;AMY;ANG;ANH;ANT;BEA;CAL;CAO;CAR;CHI;CHR;CLI;EDW;ELA;ELI;FOO;HEN;HIE;HOW;JAC;JOS;JUS;KEA;KIM;LAR;LIS;MAI;MAR;MEN;MEO;MEY;MYO;NGH;NGO;PHU;PUI;QUO;RIT;SAM;SEV;STD;STE;STU;SUB;SUI;TIN;TRA;UNK;VEL;WAI;WYM;XYZ;YVO,Adult;Student;Teacher;Unidentified,,
Hall,Eng-NA,eng zho,1,1,1734.9375,1734.9375,Eng-NA,ok,5224,"{""BRO"": 1, ""CHI"": 1844, ""EXP"": 323, ""FAD"": 45, ""FAT"": 2, ""FCH"": 254, ""GRF"": 2, ""GRO"": 2, ""MAD"": 27, ""MCH"": 576, ""MOT"": 1459, ""SIS"": 1, ""TCA"": 1, ""TEA"": 634, ""TEL"": 36, ""UNK"": 17}","{""Brother"": 1, ""Target_Child"": 1844, ""Investigator"": 323, ""Adult"": 73, ""Father"": 2, ""Child"": 830, ""Grandfather"": 2, ""Unidentified"": 19, ""Mother"": 1459, ""Sister"": 1, ""Teacher"": 634, ""Media"": 36}",BRO;CHI;EXP;FAD;FAT;FCH;GRF;GRO;MAD;MCH;MOT;SIS;TCA;TEA;TEL;UNK,Adult;Brother;Child;Father;Grandfather;Investigator;Media;Mother;Sister;Target_Child;Teacher;Unidentified,,
HKU,Chinese,nan eng; yue eng,70,70,882.6875,2070.75,Chinese,ok,26850,"{""CHI"": 10947, ""HEL"": 98, ""IN1"": 217, ""IN2"": 404, ""INV"": 15184}","{""Target_Child"": 10947, ""Caretaker"": 98, ""Investigator"": 15805}",CHI;HEL;IN1;IN2;INV,Caretaker;Investigator;Target_Child,"{""本"": 4}","{""本"": 1}"
KernFrench,French,nan,1,0,,,French,ok,,,,,,,
LeeWongLeung,Chinese,yue eng; yue eng jpn,161,161,539.4375,1348.25,Chinese,ok,254521,"{""ACH"": 3, ""ACQ"": 1, ""ANN"": 3, ""AUN"": 471, ""BOY"": 3, ""BRO"": 71, ""CHI"": 84383, ""CUS"": 320, ""FAT"": 5203, ""FIV"": 95, ""FRI"": 2, ""GDM"": 224, ""GMO"": 68, ""GRA"": 1057, ""GRF"": 85, ""GRM"": 355, ""INV"": 139601, ""LAD"": 5, ""MAN"": 29, ""MOT"": 14107, ""PBY"": 4, ""SEC"": 2, ""SER"": 324, ""SIS"": 5441, ""SIV"": 2046, ""STM"": 4, ""STU"": 21, ""TIV"": 15, ""UNC"": 198, ""VSI"": 375, ""WAI"": 5}","{""Child"": 27, ""Friend"": 1, ""Unidentified"": 3, ""Relative"": 1023, ""Brother"": 71, ""Target_Child"": 84383, ""Father"": 5203, ""Investigator"": 142132, ""Adult"": 309, ""Grandmother"": 1412, ""Grandfather"": 85, ""Mother"": 14107, ""Caretaker"": 324, ""Sister"": 5441}",ACH;ACQ;ANN;AUN;BOY;BRO;CHI;CUS;FAT;FIV;FRI;GDM;GMO;GRA;GRF;GRM;INV;LAD;MAN;MOT;PBY;SEC;SER;SIS;SIV;STM;STU;TIV;UNC;VSI;WAI,Adult;Brother;Caretaker;Child;Father;Friend;Grandfather;Grandmother;Investigator;Mother;Relative;Sister;Target_Child;Unidentified,"{""只"": 1, ""本"": 869}","{""本"": 167}"
Leo,Biling,eng yue zho; eng zho yue; yue eng; yue eng zho; yue zho eng; zho eng; zho eng yue; zho yue eng,54,54,547.875,1086.3125,Biling,ok,48592,"{""CHI"": 14167, ""FAT"": 7499, ""GRA"": 3341, ""GRF"": 6, ""HAN"": 3840, ""HOU"": 449, ""JOY"": 13, ""MOT"": 19274, ""RIK"": 3}","{""Target_Child"": 14167, ""Father"": 7499, ""Grandfather"": 142, ""Grandmother"": 3205, ""Investigator"": 3856, ""Caretaker"": 449, ""Mother"": 19274}",CHI;FAT;GRA;GRF;HAN;HOU;JOY;MOT;RIK,Caretaker;Father;Grandfather;Grandmother;Investigator;Mother;Target_Child,"{""个"": 562, ""只"": 63, ""张"": 15, ""本"": 97, ""条"": 14}","{""个"": 71, ""只"": 12, ""张"": 1, ""本"": 11, ""条"": 2}"
LiReading,Chinese,zho; zho eng,214,214,1156.625,2282.8125,Chinese,ok,72875,"{""CHI"": 21925, ""MOT"": 50950}","{""Target_Child"": 21925, ""Mother"": 50950}",CHI;MOT,Mother;Target_Child,"{""个"": 8016, ""只"": 748, ""张"": 780, ""本"": 640, ""条"": 41}","{""个"": 2186, ""只"": 161, ""张"": 91, ""本"": 82, ""条"": 14}"
LiZhou,Chinese,zho; zho eng,40,0,,,Chinese,ok,13245,"{""CH2"": 6160, ""CHI"": 7085}","{""Target_Child"": 13245}",CH2;CHI,Target_Child,"{""个"": 1192, ""只"": 36, ""张"": 7, ""本"": 3, ""条"": 12}","{""个"": 1192, ""只"": 36, ""张"": 7, ""本"": 3, ""条"": 12}"
Lyon,French,nan,7,0,,,French,ok,,,,,,,
PaidoCantonese,Chinese,yue,160,160,821.8125,2100.1875,Chinese,ok,8354,"{""CHI"": 8354}","{""Target_Child"": 8354}",CHI,Target_Child,,
Providence,Eng-NA,nan,2,0,,,Eng-NA,ok,,,,,,,
Singapore,Biling,eng zho; eng zho ind; eng zho tha,181,0,,,Biling,ok,43734,"{""ALA"": 2382, ""AMA"": 56, ""AUG"": 669, ""AUN"": 31, ""BRE"": 104, ""CAL"": 538, ""CF1"": 120, ""CF2"": 8, ""CG1"": 12, ""CHR"": 9, ""CM1"": 110, ""CM2"": 7, ""CT1"": 491, ""CT2"": 1, ""CT3"": 205, ""CT4"": 246, ""DAI"": 566, ""DAM"": 66, ""DIA"": 258, ""DRA"": 491, ""EDD"": 286, ""EDW"": 411, ""ELM"": 302, ""ET1"": 738, ""ET3"": 167, ""ET4"": 58, ""ET5"": 6, ""EUG"": 882, ""GUZ"": 121, ""IRV"": 486, ""IVA"": 252, ""JAM"": 582, ""JAR"": 921, ""JAS"": 90, ""JES"": 148, ""JIJ"": 1385, ""JON"": 1379, ""KEV"": 191, ""KIE"": 616, ""KRI"": 1109, ""LAR"": 173, ""LEA"": 1466, ""LEW"": 538, ""LUC"": 2132, ""MAR"": 3647, ""MEL"": 991, ""MIN"": 346, ""MOL"": 701, ""NAO"": 854, ""NIC"": 494, ""OBS"": 9, ""PAT"": 674, ""REL"": 385, ""SAL"": 333, ""SAN"": 1835, ""SEL"": 637, ""SHI"": 768, ""SIE"": 514, ""ST1"": 13, ""STA"": 1553, ""SUL"": 446, ""TAL"": 912, ""TIF"": 1038, ""TIT"": 1364, ""TOM"": 1113, ""TON"": 783, ""VID"": 434, ""VIN"": 413, ""WAC"": 42, ""XIN"": 223, ""XIU"": 618, ""XST"": 539, ""YUL"": 781, ""YUS"": 188, ""ZSW"": 277}","{""Child"": 41757, ""Teacher"": 1943, ""Caretaker"": 12, ""Investigator"": 9, ""Adult"": 13}",ALA;AMA;AUG;AUN;BRE;CAL;CF1;CF2;CG1;CHR;CM1;CM2;CT1;CT2;CT3;CT4;DAI;DAM;DIA;DRA;EDD;EDW;ELM;ET1;ET3;ET4;ET5;EUG;GUZ;IRV;IVA;JAM;JAR;JAS;JES;JIJ;JON;KEV;KIE;KRI;LAR;LEA;LEW;LUC;MAR;MEL;MIN;MOL;NAO;NIC;OBS;PAT;REL;SAL;SAN;SEL;SHI;SIE;ST1;STA;SUL;TAL;TIF;TIT;TOM;TON;VID;VIN;WAC;XIN;XIU;XST;YUL;YUS;ZSW,Adult;Caretaker;Child;Investigator;Teacher,"{""个"": 1531, ""只"": 63, ""张"": 2, ""本"": 8, ""条"": 9}",
TCCM,Chinese,zho; zho nan,127,126,517.4375,1552.3125,Chinese,ok,100729,"{""ADU"": 5519, ""AEX"": 275, ""ANO"": 42, ""BRO"": 73, ""CAR"": 25, ""CHI"": 34050, ""DAD"": 215, ""EXA"": 30768, ""FAT"": 263, ""FRE"": 303, ""GFA"": 1, ""GFT"": 30, ""GMO"": 3, ""GMT"": 130, ""GRA"": 1565, ""INV"": 7460, ""LIA"": 42, ""MOT"": 16269, ""NAN"": 2, ""NEI"": 21, ""SHO"": 242, ""SIS"": 25, ""TSA"": 3326, ""UNC"": 79, ""UNI"": 1}","{""Adult"": 5519, ""Investigator"": 42266, ""Grandfather"": 34, ""Brother"": 73, ""Caretaker"": 27, ""Target_Child"": 34260, ""Father"": 478, ""Grandmother"": 1698, ""Mother"": 16269, ""Sister"": 25, ""Relative"": 79, ""Unidentified"": 1}",ADU;AEX;ANO;BRO;CAR;CHI;DAD;EXA;FAT;FRE;GFA;GFT;GMO;GMT;GRA;INV;LIA;MOT;NAN;NEI;SHO;SIS;TSA;UNC;UNI,Adult;Brother;Caretaker;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Sister;Target_Child;Unidentified,"{""个"": 8250, ""只"": 577, ""张"": 198, ""本"": 265, ""条"": 85}","{""个"": 3026, ""只"": 135, ""张"": 38, ""本"": 55, ""条"": 15}"
TCCM-reading,Chinese,zho,20,20,730.5,882.6875,Chinese,ok,3762,"{""CHI"": 1067, ""MOT"": 2695}","{""Target_Child"": 1067, ""Mother"": 2695}",CHI;MOT,Mother;Target_Child,"{""个"": 114, ""只"": 119, ""张"": 10, ""本"": 1, ""条"": 67}","{""个"": 24, ""只"": 1, ""条"": 4}"
Thai-Zlatev,Frogs,tha zho,1,1,1412.125,1412.125,Frogs,ok,36,"{""CHI"": 36}","{""Target_Child"": 36}",CHI,Target_Child,,
Tong,Chinese,zho; zho eng,22,22,596.3125,1226.5,Chinese,ok,32250,"{""CHI"": 10039, ""FAT"": 2497, ""GRA"": 1341, ""GRF"": 317, ""GRM"": 173, ""MOT"": 17452, ""SIS"": 365, ""VIS"": 66}","{""Target_Child"": 10039, ""Father"": 2497, ""Grandfather"": 650, ""Grandmother"": 1181, ""Mother"": 17452, ""Sister"": 365, ""Visitor"": 66}",CHI;FAT;GRA;GRF;GRM;MOT;SIS;VIS,Father;Grandfather;Grandmother;Mother;Sister;Target_Child;Visitor,"{""个"": 3500, ""只"": 156, ""张"": 62, ""本"": 67, ""条"": 72}","{""个"": 896, ""只"": 33, ""张"": 17, ""本"": 9, ""条"": 12}"
Tsay,Chinese,nan; nan zho eng,438,430,396.6875,1938.5625,Chinese,ok,522127,"{""BRO"": 888, ""CHI"": 176085, ""FAT"": 531, ""GRF"": 1319, ""GRM"": 19624, ""IN1"": 32797, ""IN2"": 7913, ""INV"": 249881, ""MOT"": 20233, ""OTH"": 3588, ""SIS"": 9268}","{""Brother"": 888, ""Target_Child"": 176085, ""Father"": 563, ""Grandfather"": 1287, ""Grandmother"": 19627, ""Investigator"": 290591, ""Mother"": 20233, ""Adult"": 15, ""Child"": 196, ""Relative"": 133, ""Unidentified"": 3241, ""Sister"": 9268}",BRO;CHI;FAT;GRF;GRM;IN1;IN2;INV;MOT;OTH;SIS,Adult;Brother;Child;Father;Grandfather;Grandmother;Investigator;Mother;Relative;Sister;Target_Child;Unidentified,"{""个"": 9709, ""只"": 9, ""本"": 1670}","{""个"": 3706, ""只"": 2, ""本"": 482}"
Xinjiang,Chinese,zho; zho eng,1564,1519,1095.75,2922.0,Chinese,ok,48779,"{""ADU"": 5237, ""ADU2"": 5, ""CHI"": 43537}","{""Adult"": 5242, ""Target_Child"": 43537}",ADU;ADU2;CHI,Adult;Target_Child,"{""个"": 7978, ""只"": 229, ""张"": 17, ""本"": 2, ""条"": 15}","{""个"": 7409, ""只"": 223, ""张"": 5, ""本"": 2, ""条"": 14}"
YipMatthews,Biling,eng yue; yue eng,491,491,466.5625,1650.625,Biling,ok,404887,"{""ADU"": 127, ""ALA"": 415, ""ALC"": 506, ""ALI"": 11798, ""ANO"": 3445, ""ANT"": 159, ""AUN"": 88, ""BEL"": 40953, ""BEM"": 28, ""BET"": 8272, ""BRO"": 3102, ""CAM"": 11, ""CES"": 1856, ""CHI"": 121220, ""CLA"": 2027, ""COM"": 144, ""COU"": 69, ""DAD"": 10, ""ELA"": 19, ""ELN"": 8605, ""EPE"": 1, ""FAT"": 25112, ""FRD"": 5, ""GEM"": 713, ""GIR"": 3, ""GRA"": 2646, ""GRF"": 65, ""GRJ"": 38, ""HEL"": 9, ""HLP"": 1575, ""HOU"": 3222, ""INV"": 140, ""JAM"": 126, ""JAN"": 7, ""KEL"": 373, ""KEN"": 282, ""KID"": 1, ""KLY"": 458, ""LIN"": 68558, ""MIC"": 30042, ""MOT"": 17015, ""PAT"": 644, ""PEG"": 275, ""PHY"": 12453, ""RIC"": 465, ""SIS"": 6318, ""SOP"": 265, ""TIM"": 705, ""UDA"": 26, ""UNI"": 2, ""VIR"": 8, ""VIS"": 93, ""WIN"": 30388}","{""Adult"": 136, ""Brother"": 4629, ""Investigator"": 219195, ""Relative"": 641, ""Caretaker"": 5581, ""Target_Child"": 121220, ""Sister"": 8345, ""Media"": 144, ""Father"": 25122, ""Sibling"": 1, ""Visitor"": 97, ""Girl"": 3, ""Grandmother"": 2691, ""Grandfather"": 65, ""Mother"": 17015, ""Unidentified"": 2}",ADU;ALA;ALC;ALI;ANO;ANT;AUN;BEL;BEM;BET;BRO;CAM;CES;CHI;CLA;COM;COU;DAD;ELA;ELN;EPE;FAT;FRD;GEM;GIR;GRA;GRF;GRJ;HEL;HLP;HOU;INV;JAM;JAN;KEL;KEN;KID;KLY;LIN;MIC;MOT;PAT;PEG;PHY;RIC;SIS;SOP;TIM;UDA;UNI;VIR;VIS;WIN,Adult;Brother;Caretaker;Father;Girl;Grandfather;Grandmother;Investigator;Media;Mother;Relative;Sibling;Sister;Target_Child;Unidentified;Visitor,"{""只"": 10, ""本"": 1157}","{""只"": 2, ""本"": 121}"
Zhou1,Chinese,zho,50,50,426.125,1461.0,Chinese,ok,11694,"{""CHI"": 3051, ""FAT"": 71, ""GRA"": 3, ""MOT"": 8569}","{""Target_Child"": 3051, ""Father"": 71, ""Grandfather"": 3, ""Mother"": 8569}",CHI;FAT;GRA;MOT,Father;Grandfather;Mother;Target_Child,"{""个"": 1747, ""只"": 73, ""张"": 14, ""本"": 22, ""条"": 2}","{""个"": 351, ""只"": 12, ""张"": 1, ""本"": 2}"
Zhou2,Chinese,zho; zho eng,140,140,1077.3125,2191.5,Chinese,ok,54512,"{""CAM"": 1, ""CHI"": 16078, ""FAT"": 2, ""MOT"": 38426, ""REC"": 2, ""RED"": 2, ""STU"": 1}","{""Investigator"": 3, ""Target_Child"": 16078, ""Father"": 2, ""Mother"": 38426, ""Unidentified"": 2, ""Student"": 1}",CAM;CHI;FAT;MOT;REC;RED;STU,Father;Investigator;Mother;Student;Target_Child;Unidentified,"{""个"": 9311, ""只"": 1202, ""张"": 80, ""本"": 111, ""条"": 68}","{""个"": 2865, ""只"": 168, ""张"": 22, ""本"": 21, ""条"": 21}"
Zhou3,Chinese,zho,30,29,613.75,1978.4375,Chinese,ok,24009,"{""CH2"": 67, ""CHI"": 8381, ""FAT"": 1359, ""GRA"": 224, ""GRF"": 67, ""GRM"": 238, ""MOT"": 13597, ""SHE"": 76}","{""Target_Child"": 8448, ""Father"": 1359, ""Grandmother"": 462, ""Grandfather"": 67, ""Mother"": 13597, ""Investigator"": 76}",CH2;CHI;FAT;GRA;GRF;GRM;MOT;SHE,Father;Grandfather;Grandmother;Investigator;Mother;Target_Child,"{""个"": 3243, ""只"": 152, ""张"": 56, ""本"": 43, ""条"": 13}","{""个"": 972, ""只"": 39, ""张"": 13, ""本"": 6, ""条"": 2}"
ZhouAssessment,Chinese,zho; zho eng,219,0,,,Chinese,ok,51827,"{""CHI"": 21464, ""TEA"": 30363}","{""Child"": 21464, ""Teacher"": 30363}",CHI;TEA,Child;Teacher,"{""个"": 7402, ""只"": 209, ""张"": 173, ""本"": 4, ""条"": 13}",
ZhouDinner,Chinese,zho,71,68,1491.4375,2161.0625,Chinese,ok,17217,"{""ADU"": 3, ""AUN"": 30, ""AUT"": 26, ""BRO"": 46, ""CHI"": 4740, ""FAT"": 2038, ""GFA"": 960, ""GMO"": 2033, ""GMO1"": 18, ""GMO2"": 14, ""MOT"": 7074, ""SIS"": 235}","{""Adult"": 12181, ""Child"": 296, ""Target_Child"": 4740}",ADU;AUN;AUT;BRO;CHI;FAT;GFA;GMO;GMO1;GMO2;MOT;SIS,Adult;Child;Target_Child,"{""个"": 1648, ""只"": 72, ""张"": 16, ""本"": 1, ""条"": 10}","{""个"": 514, ""只"": 16, ""张"": 4, ""条"": 1}"
ZhouNarratives,Chinese,zho,247,247,1095.75,2191.5,Chinese,ok,20144,"{""CHI"": 10177, ""INV"": 9967}","{""Target_Child"": 10177, ""Investigator"": 9967}",CHI;INV,Investigator;Target_Child,"{""个"": 4427, ""只"": 198, ""张"": 25, ""本"": 188, ""条"": 52}","{""个"": 3169, ""只"": 169, ""张"": 19, ""本"": 17, ""条"": 49}"
